review_text,rating,date,upvotes
"UI sangat membingungkan, sulit digunakan.",2,2023-03-26,45
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-04-23,44
"UI/UX sangat intuitif, tidak ada masalah.",4,2023-03-19,28
"Aplikasi sering crash, sangat frustasi!",1,2023-06-24,59
"Aplikasi sering crash, sangat frustasi!",2,2023-05-09,7
"Aplikasi sering crash, sangat frustasi!",2,2023-03-07,36
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-02-14,97
Layanan pelanggan sangat responsif dan membantu.,4,2023-01-28,10
Banyak bug yang mengganggu pengalaman belanja.,1,2023-09-01,63
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-03-14,55
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-05-01,6
Banyak promo menarik setiap hari.,4,2023-06-11,50
Aplikasi sangat bagus dan mudah digunakan!,4,2023-07-09,15
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,2,2023-04-17,98
"UI sangat membingungkan, sulit digunakan.",2,2023-09-01,4
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-02-16,16
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-11-22,24
"Aplikasi sering crash, sangat frustasi!",2,2023-11-07,25
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-06-03,41
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-02-21,76
Layanan pelanggan sangat responsif dan membantu.,4,2023-02-11,32
Aplikasi sangat bagus dan mudah digunakan!,5,2023-06-02,100
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-12-09,71
Layanan pelanggan sangat responsif dan membantu.,5,2023-02-28,90
Banyak promo menarik setiap hari.,5,2023-06-20,20
"UI sangat membingungkan, sulit digunakan.",2,2023-01-21,83
Layanan pelanggan sangat responsif dan membantu.,5,2023-10-02,66
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-11-10,91
"UI sangat membingungkan, sulit digunakan.",2,2023-09-11,19
"UI sangat membingungkan, sulit digunakan.",1,2023-05-22,19
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-11-22,8
"Promo sering tidak berlaku, sangat mengecewakan.",2,2023-09-21,20
"UI sangat membingungkan, sulit digunakan.",1,2023-06-25,53
Aplikasi sangat bagus dan mudah digunakan!,5,2023-03-09,21
"Aplikasi sering crash, sangat frustasi!",2,2023-05-25,40
"Aplikasi cukup baik, tapi bisa ditingkatkan.",3,2023-03-28,24
"Pengalaman standar, tidak istimewa tapi cukup baik.",3,2023-10-26,67
"Aplikasi sering crash, sangat frustasi!",2,2023-01-22,56
"Pengalaman belanja terbaik, pengiriman cepat.",4,2023-08-19,75
"Tidak buruk, tapi ada ruang untuk perbaikan.",3,2023-10-28,8
"UI/UX sangat intuitif, tidak ada masalah.",5,2023-06-25,30
Pengiriman sangat lambat dan tidak sesuai ekspektasi.,1,2023-06-18,78
Terkadang ada bug kecil tapi tidak mengganggu.,3,2023-07-24,17
"Promo sering tidak berlaku, sangat mengecewakan.",1,2023-09-20,37
